Booking_ID,Hotel_Name,Booking_Date,Check_In_Date,Check_Out_Date,Customer_Nationality,Booking_Platform,Room_Type_Booked,Number_of_Adults,Number_of_Children,Number_of_Nights,Total_Guests,Room_Price_Per_Night,Total_Price,Meal_Plan,Cancellation_Policy,Lead_Time,Previous_Cancellations,Previous_Bookings_Not_Canceled,Special_Requests,Payment_Method,Is_Repeated_Guest,Deposit_Type,Average_Daily_Rate,Is_Weekend_Stay,Required_Car_Parking_Spaces,Total_Special_Requests,Customer_Rating,Cancellation_Status
BK001013,Mountain View Lodge,2023-03-12,2024-01-10,2024-01-12,Brazil,Direct Booking,Twin Room,1,1,2,2,451.2,902.4,All Inclusive,Flexible,304,4,1,"High Floor, Airport Pickup, Extra Bed",Corporate Billing,1,No Deposit,451.2,0,1,3,5.0,1
BK001014,Seaside Resort,2023-01-10,2023-09-01,2023-09-11,China,Expedia,Deluxe,2,2,10,4,220.5,2205.0,Half Board,Flexible,234,1,5,"Airport Pickup, Late Checkout",Cash on Arrival,1,No Deposit,220.5,1,2,2,7.0,0
BK001015,Seaside Resort,2023-05-18,2023-09-30,2023-10-02,Mexico,Expedia,Single Room,2,2,2,4,201.6,403.2,All Inclusive,Moderate,135,5,5,Early Check-in,Cash on Arrival,1,No Deposit,201.6,1,0,1,7.0,0
BK001016,Grand Plaza Hotel,2023-01-04,2023-06-23,2023-07-06,Canada,Travel Agency,Suite,4,3,13,7,734.0,9542.0,Room Only,Flexible,170,0,2,None,PayPal,0,No Deposit,734.0,1,0,0,,1
BK001017,Grand Plaza Hotel,2024-01-02,2024-04-18,2024-04-29,Australia,Expedia,Presidential Suite,4,1,11,5,703.5,7738.5,Bed & Breakfast,Moderate,107,3,0,High Floor,Bank Transfer,0,No Deposit,703.5,0,2,1,,1
BK001018,Grand Plaza Hotel,2024-04-26,2024-08-17,2024-08-21,South Korea,Kayak,Presidential Suite,3,1,4,4,679.0,2716.0,Room Only,Moderate,113,3,5,"Extra Bed, Connecting Rooms",PayPal,1,No Deposit,679.0,1,1,2,8.0,0
BK001019,Seaside Resort,2023-09-25,2023-12-25,2024-01-04,Germany,Booking.com,Deluxe,4,2,10,6,679.5,6795.0,Half Board,Non-refundable,91,4,8,None,Bank Transfer,0,Partial,679.5,0,2,0,,0
BK001020,Boutique Hotel Central,2024-07-05,2025-06-21,2025-07-03,India,Direct Booking,Presidential Suite,4,0,12,4,1470.0,17640.0,Half Board,Strict,351,5,1,"Early Check-in, High Floor",Bank Transfer,1,No Deposit,1470.0,1,1,2,6.0,1
BK001021,Luxury Palace,2024-11-24,2025-02-21,2025-03-03,China,Travel Agency,Twin Room,1,2,10,3,271.2,2712.0,Bed & Breakfast,Non-refundable,89,4,9,"Baby Cot, Late Checkout",Bank Transfer,0,Full,271.2,1,2,2,,0
BK001022,Seaside Resort,2023-10-18,2024-07-07,2024-07-18,Brazil,Phone Booking,Presidential Suite,1,1,11,2,1484.0,16324.0,Half Board,Moderate,263,1,2,None,Credit Card,0,Full,1484.0,1,2,0,,0
BK001023,Seaside Resort,2024-04-11,2024-11-09,2024-11-20,China,Direct Booking,Twin Room,4,3,11,7,244.8,2692.8,Bed & Breakfast,Flexible,212,0,6,Airport Pickup,Corporate Billing,1,No Deposit,244.8,1,0,1,4.0,1
BK001024,Budget Stay Inn,2024-11-14,2025-08-12,2025-08-21,China,Corporate Account,Double Room,4,3,9,7,177.1,1593.9,Full Board,Non-refundable,271,2,3,"Baby Cot, High Floor",Debit Card,1,Full,177.1,0,2,2,7.0,0
BK001025,Boutique Hotel Central,2023-03-24,2023-06-02,2023-06-05,Australia,Hotels.com,Suite,2,0,3,2,584.0,1752.0,Full Board,Strict,70,4,7,"None, Extra Bed, Late Checkout",Bank Transfer,0,Partial,584.0,1,2,3,,0
BK001026,Grand Plaza Hotel,2023-12-27,2024-05-27,2024-06-09,Spain,Hotels.com,Single Room,2,3,13,5,172.8,2246.4,Half Board,Non-refundable,152,3,0,"High Floor, Baby Cot, Connecting Rooms",Bank Transfer,0,Full,172.8,0,0,3,,0
BK001027,Boutique Hotel Central,2023-01-28,2023-08-17,2023-08-27,China,Booking.com,Deluxe,4,1,10,5,474.0,4740.0,Bed & Breakfast,Flexible,201,2,6,"Late Checkout, Baby Cot",PayPal,1,Partial,474.0,0,1,2,9.0,1
BK001028,Seaside Resort,2024-04-26,2024-05-05,2024-05-17,Japan,Booking.com,Presidential Suite,2,0,12,2,1676.5,20118.0,Room Only,Flexible,9,1,3,None,Cash on Arrival,0,No Deposit,1676.5,1,1,0,,0
BK001029,Spa & Wellness Resort,2023-08-12,2024-04-06,2024-04-18,Germany,Corporate Account,Suite,1,1,12,2,478.0,5736.0,Room Only,Flexible,238,2,9,"Connecting Rooms, High Floor, Extra Bed",Credit Card,0,No Deposit,478.0,1,1,3,,0
BK001030,Spa & Wellness Resort,2023-05-04,2024-02-17,2024-03-01,USA,Corporate Account,Single Room,4,2,13,6,103.5,1345.5,All Inclusive,Strict,289,0,6,"Extra Bed, Late Checkout, Airport Pickup",Corporate Billing,1,Partial,103.5,1,1,3,9.0,0
BK001031,Airport Hotel,2024-09-22,2025-06-24,2025-07-07,Italy,Kayak,Twin Room,3,2,13,5,246.0,3198.0,Room Only,Strict,275,3,3,"Connecting Rooms, Airport Pickup, None",Bank Transfer,1,No Deposit,246.0,0,0,3,7.0,1
BK001032,Spa & Wellness Resort,2024-12-19,2025-05-09,2025-05-18,USA,Trivago,Family Room,1,1,9,2,806.4,7257.6,Full Board,Non-refundable,141,4,3,"Baby Cot, Late Checkout, None",Credit Card,1,Partial,806.4,1,2,3,8.0,0
BK001033,Boutique Hotel Central,2023-12-19,2024-07-23,2024-08-04,Japan,Corporate Account,Presidential Suite,4,2,12,6,826.0,9912.0,Half Board,Moderate,217,0,3,"Extra Bed, High Floor",Cash on Arrival,0,No Deposit,826.0,0,2,2,,1
BK001034,Modern Stays,2024-08-26,2025-05-21,2025-05-31,Germany,Expedia,Family Room,3,1,10,4,475.2,4752.0,Bed & Breakfast,Strict,268,0,8,Early Check-in,Credit Card,0,No Deposit,475.2,0,2,1,,0
BK001035,Heritage Hotel,2024-05-17,2024-07-08,2024-07-22,USA,Phone Booking,Executive Suite,4,3,14,7,762.5,10675.0,Half Board,Moderate,52,0,4,"Extra Bed, Connecting Rooms, None",Bank Transfer,1,No Deposit,762.5,0,2,3,5.0,1
BK001036,Spa & Wellness Resort,2023-11-08,2023-12-21,2023-12-25,UK,Trivago,Twin Room,2,3,4,5,372.0,1488.0,Full Board,Strict,43,4,6,"None, Early Check-in",Corporate Billing,0,Full,372.0,0,0,2,,0
BK001037,Airport Hotel,2024-11-07,2024-12-18,2024-12-21,Australia,Agoda,Single Room,1,1,3,2,72.9,218.7,Full Board,Non-refundable,41,5,9,"Early Check-in, None, Extra Bed",PayPal,1,Full,72.9,0,1,3,4.0,0
BK001038,Heritage Hotel,2024-08-26,2025-07-30,2025-08-12,Mexico,Direct Booking,Twin Room,1,1,13,2,493.2,6411.6,Bed & Breakfast,Strict,338,1,1,None,Debit Card,1,No Deposit,493.2,0,2,0,10.0,1
BK001039,Modern Stays,2023-11-08,2024-10-31,2024-11-07,Germany,Trivago,Single Room,4,3,7,7,108.9,762.3,All Inclusive,Flexible,358,3,5,"None, Baby Cot",Debit Card,0,Full,108.9,0,2,2,,0
BK001040,Spa & Wellness Resort,2023-02-11,2023-05-11,2023-05-19,Japan,Kayak,Executive Suite,2,3,8,5,1012.5,8100.0,Full Board,Flexible,89,3,5,"High Floor, Airport Pickup, Baby Cot",Credit Card,0,No Deposit,1012.5,0,2,3,,1
BK001041,Heritage Hotel,2024-02-15,2024-11-22,2024-11-23,Italy,Expedia,Presidential Suite,3,2,1,5,486.5,486.5,Full Board,Flexible,281,5,8,"Connecting Rooms, None, Extra Bed",Cash on Arrival,1,No Deposit,486.5,1,1,3,3.0,1
BK001042,Boutique Hotel Central,2023-05-15,2023-10-09,2023-10-17,Mexico,Kayak,Deluxe,1,1,8,2,664.5,5316.0,Bed & Breakfast,Strict,147,4,0,"Extra Bed, Baby Cot, None",Bank Transfer,0,No Deposit,664.5,0,0,3,,0
BK001043,Modern Stays,2023-10-26,2024-07-12,2024-07-24,Germany,Hotels.com,Double Room,4,1,12,5,344.3,4131.6,All Inclusive,Moderate,260,3,3,Extra Bed,PayPal,1,No Deposit,344.3,1,2,1,3.0,1
BK001044,Airport Hotel,2024-08-24,2025-06-16,2025-06-27,Italy,Agoda,Double Room,4,2,11,6,275.0,3025.0,All Inclusive,Non-refundable,296,3,5,Late Checkout,Cash on Arrival,1,Partial,275.0,0,1,1,8.0,0
BK001045,Luxury Palace,2024-01-31,2025-01-04,2025-01-17,South Korea,Agoda,Double Room,1,1,13,2,370.7,4819.1,All Inclusive,Strict,339,0,7,None,Cash on Arrival,1,No Deposit,370.7,1,0,0,5.0,1
BK001046,Airport Hotel,2023-12-13,2024-10-27,2024-11-08,Spain,Expedia,Presidential Suite,4,2,12,6,1400.0,16800.0,Full Board,Flexible,319,4,1,Early Check-in,Debit Card,0,No Deposit,1400.0,1,0,1,,1
BK001047,Modern Stays,2023-04-13,2023-11-26,2023-11-29,India,Travel Agency,Standard,1,2,3,3,487.0,1461.0,Room Only,Strict,227,2,5,"Airport Pickup, Extra Bed, Early Check-in",Bank Transfer,0,No Deposit,487.0,1,0,3,,0
BK001048,Luxury Palace,2024-09-26,2025-09-10,2025-09-14,Italy,Phone Booking,Suite,2,3,4,5,812.0,3248.0,Half Board,Non-refundable,349,2,10,None,Bank Transfer,1,Full,812.0,0,0,0,6.0,0
BK001049,Airport Hotel,2024-10-16,2025-05-21,2025-06-02,Germany,Kayak,Executive Suite,2,3,12,5,817.5,9810.0,Room Only,Moderate,217,3,9,"Early Check-in, High Floor",PayPal,0,Full,817.5,0,2,2,,1
BK001050,Grand Plaza Hotel,2024-08-02,2025-07-19,2025-08-01,India,Booking.com,Studio,4,2,13,6,620.1,8061.3,Bed & Breakfast,Strict,351,1,10,Early Check-in,Corporate Billing,0,No Deposit,620.1,1,2,1,,0
BK001051,Airport Hotel,2024-03-27,2024-04-13,2024-04-23,France,Agoda,Deluxe,3,2,10,5,693.0,6930.0,Full Board,Moderate,17,1,2,"Early Check-in, Connecting Rooms",Debit Card,1,Full,693.0,1,1,2,7.0,0
BK001052,Business Suites,2023-04-28,2023-12-23,2023-12-25,Canada,Direct Booking,Twin Room,3,0,2,3,580.8,1161.6,Full Board,Flexible,239,2,8,None,Bank Transfer,1,No Deposit,580.8,1,2,0,9.0,0
BK001053,Business Suites,2023-04-21,2024-03-31,2024-04-04,Italy,Booking.com,Studio,3,1,4,4,534.3,2137.2,Room Only,Non-refundable,345,5,4,"Extra Bed, Baby Cot, None",Credit Card,1,Full,534.3,1,0,3,9.0,0
BK001054,Budget Stay Inn,2024-01-15,2024-12-23,2025-01-04,India,Trivago,Twin Room,2,3,12,5,498.0,5976.0,Room Only,Non-refundable,343,4,6,"None, High Floor",PayPal,0,Full,498.0,0,0,2,,0
BK001055,Seaside Resort,2024-12-03,2025-06-09,2025-06-18,Mexico,Corporate Account,Standard,4,2,9,6,177.0,1593.0,Room Only,Non-refundable,188,0,10,None,Credit Card,1,Partial,177.0,0,0,1,6.0,1
BK001056,Boutique Hotel Central,2023-08-01,2024-05-27,2024-05-31,South Korea,Direct Booking,Presidential Suite,2,0,4,2,773.5,3094.0,Bed & Breakfast,Moderate,300,4,4,Extra Bed,Corporate Billing,0,No Deposit,773.5,0,1,1,,0
BK001057,City Center Inn,2024-08-25,2025-02-06,2025-02-07,Canada,Travel Agency,Standard,2,3,1,5,349.0,349.0,Room Only,Flexible,165,3,7,"Extra Bed, Late Checkout",Cash on Arrival,0,Full,349.0,0,0,2,,0
BK001058,Heritage Hotel,2024-06-17,2024-11-18,2024-11-26,Brazil,Booking.com,Standard,4,3,8,7,298.0,2384.0,Room Only,Non-refundable,154,5,7,None,Credit Card,1,Full,298.0,0,0,0,10.0,0
BK001059,Boutique Hotel Central,2024-12-30,2025-06-14,2025-06-21,China,Trivago,Executive Suite,4,3,7,7,325.0,2275.0,Room Only,Moderate,166,3,7,Connecting Rooms,PayPal,1,No Deposit,325.0,1,2,1,7.0,1
BK001060,Airport Hotel,2024-01-19,2024-04-06,2024-04-17,Mexico,Kayak,Deluxe,1,0,11,1,190.5,2095.5,Full Board,Flexible,78,5,5,None,Cash on Arrival,1,No Deposit,190.5,1,1,1,9.0,0
BK001061,Modern Stays,2023-02-22,2023-07-19,2023-07-29,Germany,Corporate Account,Deluxe,2,1,10,3,624.0,6240.0,Full Board,Moderate,147,0,5,"Extra Bed, Connecting Rooms",PayPal,0,Partial,624.0,0,2,2,,0
BK001062,Spa & Wellness Resort,2024-09-20,2025-08-31,2025-09-11,Japan,Booking.com,Studio,3,0,11,3,223.6,2459.6,Half Board,Strict,345,2,5,None,Debit Card,0,No Deposit,223.6,1,1,0,,1
BK001063,Modern Stays,2024-10-10,2024-10-25,2024-10-27,India,Trivago,Family Room,4,3,2,7,561.6,1123.2,Half Board,Moderate,15,2,4,"Extra Bed, None",Debit Card,0,Partial,561.6,1,0,2,,0
BK001064,Airport Hotel,2024-03-29,2025-03-02,2025-03-09,Italy,Phone Booking,Double Room,4,2,7,6,209.0,1463.0,All Inclusive,Flexible,338,2,6,None,PayPal,1,No Deposit,209.0,1,1,0,7.0,0
BK001065,Grand Plaza Hotel,2023-01-08,2023-04-22,2023-04-27,Australia,Agoda,Executive Suite,3,2,5,5,352.5,1762.5,Room Only,Non-refundable,104,5,6,Airport Pickup,Bank Transfer,0,Full,352.5,1,2,1,,0
BK001066,Seaside Resort,2024-02-11,2024-03-03,2024-03-10,USA,Kayak,Deluxe,3,3,7,6,559.5,3916.5,Full Board,Non-refundable,21,2,1,"None, Airport Pickup, Extra Bed",Cash on Arrival,1,Full,559.5,1,1,3,2.0,0
BK001067,Spa & Wellness Resort,2024-02-15,2024-11-09,2024-11-11,Spain,Travel Agency,Presidential Suite,2,2,2,4,1673.0,3346.0,Bed & Breakfast,Flexible,268,4,10,None,Cash on Arrival,0,Full,1673.0,1,1,0,,1
BK001068,Heritage Hotel,2023-06-01,2023-09-29,2023-10-01,Canada,Travel Agency,Family Room,2,1,2,3,844.2,1688.4,Room Only,Moderate,120,5,7,"Baby Cot, High Floor, Early Check-in",Corporate Billing,1,Partial,844.2,1,2,3,10.0,1
BK001069,Budget Stay Inn,2024-10-08,2025-03-12,2025-03-25,Germany,Phone Booking,Standard,3,0,13,3,238.0,3094.0,Full Board,Non-refundable,155,0,0,"Early Check-in, None",Corporate Billing,0,Full,238.0,0,2,2,,0
BK001070,Spa & Wellness Resort,2024-07-21,2024-08-11,2024-08-19,Mexico,Phone Booking,Family Room,3,3,8,6,604.8,4838.4,Bed & Breakfast,Flexible,21,3,1,"Extra Bed, Early Check-in",Corporate Billing,0,No Deposit,604.8,1,2,2,,1
BK001071,Budget Stay Inn,2024-06-20,2025-03-14,2025-03-24,Canada,Corporate Account,Presidential Suite,3,3,10,6,1011.5,10115.0,Half Board,Flexible,267,5,10,"Extra Bed, Airport Pickup",Credit Card,1,No Deposit,1011.5,1,2,2,5.0,1
BK001072,Spa & Wellness Resort,2024-11-10,2025-01-21,2025-01-27,Germany,Hotels.com,Suite,1,2,6,3,732.0,4392.0,Full Board,Strict,72,1,10,None,Corporate Billing,1,No Deposit,732.0,0,0,0,5.0,0
BK001073,Business Suites,2024-05-12,2024-08-18,2024-08-22,Canada,Agoda,Deluxe,3,0,4,3,508.5,2034.0,All Inclusive,Flexible,98,5,5,Connecting Rooms,Debit Card,0,No Deposit,508.5,1,2,1,,0
BK001074,Mountain View Lodge,2024-03-24,2024-04-15,2024-04-22,France,Direct Booking,Double Room,3,3,7,6,218.9,1532.3,All Inclusive,Moderate,22,2,7,High Floor,Corporate Billing,1,No Deposit,218.9,0,1,1,9.0,0
BK001075,City Center Inn,2024-09-11,2024-11-20,2024-12-04,Germany,Booking.com,Double Room,3,0,14,3,488.4,6837.6,All Inclusive,Flexible,70,2,1,Early Check-in,Bank Transfer,0,Partial,488.4,0,0,1,,0
BK001076,City Center Inn,2024-04-06,2024-10-01,2024-10-02,Spain,Booking.com,Twin Room,3,1,1,4,332.4,332.4,Room Only,Strict,178,1,0,"Extra Bed, Connecting Rooms",Corporate Billing,1,Partial,332.4,0,0,2,8.0,0
BK001077,Mountain View Lodge,2024-12-23,2025-08-20,2025-08-28,China,Booking.com,Deluxe,1,2,8,3,285.0,2280.0,Bed & Breakfast,Non-refundable,240,0,4,Early Check-in,Credit Card,0,Partial,285.0,0,2,1,,0
BK001078,Budget Stay Inn,2023-03-06,2023-05-01,2023-05-15,Mexico,Kayak,Studio,1,1,14,2,581.1,8135.4,Bed & Breakfast,Strict,56,3,0,"Late Checkout, Early Check-in",Bank Transfer,0,No Deposit,581.1,0,0,2,,0
BK001079,Business Suites,2023-03-11,2023-12-05,2023-12-14,Japan,Trivago,Single Room,1,3,9,4,288.0,2592.0,Room Only,Non-refundable,269,2,4,None,PayPal,0,Partial,288.0,0,2,0,,0
BK001080,Seaside Resort,2024-08-18,2025-02-04,2025-02-07,USA,Corporate Account,Single Room,3,1,3,4,430.2,1290.6,Full Board,Non-refundable,170,5,2,Extra Bed,Corporate Billing,1,No Deposit,430.2,0,0,1,4.0,0
BK001081,Business Suites,2023-11-14,2024-08-03,2024-08-10,South Korea,Trivago,Double Room,3,0,7,3,511.5,3580.5,Bed & Breakfast,Strict,263,2,0,"Early Check-in, None",PayPal,1,Partial,511.5,1,2,2,9.0,0
BK001082,Mountain View Lodge,2024-05-23,2025-05-12,2025-05-20,France,Trivago,Executive Suite,1,3,8,4,300.0,2400.0,Full Board,Moderate,354,4,4,"Extra Bed, None",PayPal,1,No Deposit,300.0,0,2,2,5.0,0
BK001083,Business Suites,2024-04-02,2024-04-23,2024-05-05,South Korea,Corporate Account,Studio,4,2,12,6,529.1,6349.2,Room Only,Flexible,21,5,10,"High Floor, Early Check-in, Baby Cot",Corporate Billing,0,Full,529.1,0,0,3,,0
BK001084,Heritage Hotel,2024-03-24,2024-04-10,2024-04-13,UK,Direct Booking,Presidential Suite,3,3,3,6,1295.0,3885.0,Room Only,Moderate,17,5,7,"High Floor, Late Checkout",Credit Card,0,No Deposit,1295.0,0,1,2,,1
BK001085,Airport Hotel,2023-09-13,2023-11-10,2023-11-11,India,Agoda,Double Room,4,0,1,4,235.4,235.4,Half Board,Non-refundable,58,1,9,"Baby Cot, Extra Bed",Credit Card,0,Full,235.4,1,1,2,,0
BK001086,Modern Stays,2024-03-31,2024-05-14,2024-05-27,Brazil,Corporate Account,Presidential Suite,1,2,13,3,815.5,10601.5,Bed & Breakfast,Moderate,44,2,8,Extra Bed,Debit Card,0,No Deposit,815.5,0,1,1,,1
BK001087,Boutique Hotel Central,2024-08-09,2025-02-13,2025-02-21,UAE,Trivago,Suite,1,0,8,1,476.0,3808.0,Full Board,Non-refundable,188,4,6,"Extra Bed, Baby Cot, Airport Pickup",Corporate Billing,0,Full,476.0,0,2,3,,0
BK001088,Mountain View Lodge,2024-07-18,2025-06-10,2025-06-20,Canada,Agoda,Twin Room,1,0,10,1,414.0,4140.0,Bed & Breakfast,Strict,327,1,2,"Late Checkout, Airport Pickup",Cash on Arrival,1,Partial,414.0,0,1,2,9.0,1
BK001089,Heritage Hotel,2023-11-07,2024-09-16,2024-09-25,UK,Trivago,Suite,2,1,9,3,834.0,7506.0,All Inclusive,Strict,314,4,0,None,Credit Card,0,Full,834.0,0,2,0,,1
BK001090,City Center Inn,2024-08-08,2025-03-09,2025-03-19,Brazil,Booking.com,Double Room,3,2,10,5,359.7,3597.0,Bed & Breakfast,Non-refundable,213,2,7,None,Corporate Billing,0,Partial,359.7,1,1,0,,0
BK001091,City Center Inn,2023-12-15,2024-10-20,2024-10-23,France,Corporate Account,Presidential Suite,4,1,3,5,1641.5,4924.5,Half Board,Flexible,310,2,3,"Extra Bed, Airport Pickup, Late Checkout",Debit Card,0,No Deposit,1641.5,1,1,3,,0
BK001092,Spa & Wellness Resort,2024-03-04,2024-07-09,2024-07-23,Mexico,Agoda,Presidential Suite,3,1,14,4,1645.0,23030.0,Bed & Breakfast,Non-refundable,127,4,7,"Early Check-in, Late Checkout, None",Credit Card,1,Full,1645.0,0,0,3,8.0,1
BK001093,Airport Hotel,2024-05-21,2025-03-22,2025-04-05,Brazil,Kayak,Executive Suite,1,0,14,1,750.0,10500.0,Bed & Breakfast,Strict,305,5,5,"High Floor, None, Late Checkout",Credit Card,0,No Deposit,750.0,1,1,3,,1
BK001094,Boutique Hotel Central,2024-04-06,2025-01-12,2025-01-17,South Korea,Phone Booking,Studio,1,1,5,2,167.7,838.5,Full Board,Strict,281,2,8,"Airport Pickup, Extra Bed",Cash on Arrival,1,No Deposit,167.7,1,0,2,6.0,0
BK001095,Boutique Hotel Central,2024-04-12,2024-06-27,2024-07-07,Mexico,Trivago,Suite,3,2,10,5,326.0,3260.0,Full Board,Strict,76,4,5,"Early Check-in, Late Checkout, None",PayPal,1,No Deposit,326.0,0,1,3,3.0,0
BK001096,Airport Hotel,2024-11-02,2025-08-25,2025-09-04,Australia,Booking.com,Studio,4,1,10,5,452.4,4524.0,All Inclusive,Non-refundable,296,1,10,None,Cash on Arrival,0,Partial,452.4,0,1,1,,0
BK001097,Mountain View Lodge,2024-02-27,2025-02-14,2025-02-18,Spain,Trivago,Studio,4,0,4,4,573.3,2293.2,Bed & Breakfast,Moderate,353,4,5,"Connecting Rooms, Airport Pickup, Extra Bed",Bank Transfer,1,No Deposit,573.3,1,2,3,7.0,0
BK001098,City Center Inn,2023-09-10,2024-01-30,2024-02-08,Germany,Direct Booking,Executive Suite,3,1,9,4,1082.5,9742.5,Full Board,Strict,142,3,5,"Early Check-in, None",Cash on Arrival,1,Partial,1082.5,0,1,2,5.0,0
BK001099,Airport Hotel,2023-03-22,2023-09-15,2023-09-23,Brazil,Travel Agency,Double Room,2,1,8,3,390.5,3124.0,Half Board,Strict,177,1,1,Late Checkout,Credit Card,0,No Deposit,390.5,1,0,1,,1
BK001100,Business Suites,2024-04-28,2024-06-18,2024-06-29,UAE,Agoda,Standard,2,3,11,5,414.0,4554.0,Full Board,Non-refundable,51,5,3,"High Floor, Airport Pickup",Corporate Billing,0,Full,414.0,0,0,2,,0
BK001101,City Center Inn,2024-07-01,2024-07-20,2024-07-23,Spain,Agoda,Standard,4,3,3,7,175.0,525.0,Half Board,Flexible,19,0,4,None,PayPal,1,No Deposit,175.0,1,2,0,10.0,0
BK001102,Mountain View Lodge,2024-05-31,2025-01-25,2025-01-30,Australia,Expedia,Presidential Suite,2,3,5,5,1438.5,7192.5,Half Board,Moderate,239,0,5,"Late Checkout, Extra Bed",Cash on Arrival,1,Partial,1438.5,1,2,2,9.0,0
BK001103,Mountain View Lodge,2023-05-24,2024-01-23,2024-01-29,Mexico,Direct Booking,Standard,3,3,6,6,200.0,1200.0,Full Board,Strict,244,2,4,None,PayPal,1,No Deposit,200.0,0,0,0,10.0,1
BK001104,Luxury Palace,2024-12-03,2025-08-17,2025-08-29,UAE,Travel Agency,Deluxe,3,2,12,5,591.0,7092.0,Bed & Breakfast,Moderate,257,1,7,Baby Cot,Corporate Billing,1,No Deposit,591.0,1,2,1,6.0,0
BK001105,Heritage Hotel,2024-09-02,2024-10-13,2024-10-22,Italy,Trivago,Presidential Suite,1,0,9,1,388.5,3496.5,All Inclusive,Moderate,41,4,8,Airport Pickup,PayPal,1,No Deposit,388.5,1,0,1,10.0,1
BK001106,Boutique Hotel Central,2024-04-01,2024-04-29,2024-05-07,Canada,Trivago,Twin Room,4,0,8,4,439.2,3513.6,Full Board,Strict,28,5,0,"Early Check-in, Connecting Rooms, None",Corporate Billing,0,No Deposit,439.2,0,0,3,,1
BK001107,Modern Stays,2023-03-07,2023-12-09,2023-12-10,Mexico,Expedia,Double Room,1,2,1,3,317.9,317.9,Bed & Breakfast,Moderate,277,5,10,"High Floor, Late Checkout, Connecting Rooms",Bank Transfer,1,No Deposit,317.9,1,2,3,5.0,0
